ID,Date Added,Building,Unit Size,Rent,Avg Sq Ft,Avg Rent/sqft,Neighbourhood,City,In-Suite Laundry,Pet Friendly,Parking,EV Charging,AC,Furnished,Gym
88553012,Apr-25,revolve,studio," $2,275.00 ",347, $6.56 ,Mount Pleasant,Vancouver,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
D63A4C90,Apr-25,revolve,studio," $2,400.00 ",377, $6.37 ,Mount Pleasant,Vancouver,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
C9463EDF,Apr-25,revolve,studio," $2,600.00 ",369, $7.05 ,Mount Pleasant,Vancouver,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
81933801,Apr-25,revolve,1bed," $2,500.00 ",504, $4.96 ,Mount Pleasant,Vancouver,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
BC3EB645,Apr-25,revolve,1bed," $2,600.00 ",468, $5.56 ,Mount Pleasant,Vancouver,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
75F57F85,Apr-25,revolve,1bed," $2,650.00 ",477, $5.56 ,Mount Pleasant,Vancouver,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
6935A9FB,Apr-25,revolve,2bed," $3,400.00 ",657, $5.18 ,Mount Pleasant,Vancouver,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
30F81104,Apr-25,revolve,2bed," $3,500.00 ",649, $5.39 ,Mount Pleasant,Vancouver,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
1352B810,Apr-25,revolve,2bed," $3,500.00 ",632, $5.54 ,Mount Pleasant,Vancouver,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
CE60F460,Apr-25,revolve,3bed," $4,500.00 ",1039, $4.33 ,Mount Pleasant,Vancouver,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
D90BE070,Apr-25,hyland,studio," $2,255.00 ",400, $5.64 ,Kensington-Cedar Cottage,Vancouver,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
FCB9E6E0,Apr-25,hyland,1bed," $2,935.00 ",431, $6.81 ,Kensington-Cedar Cottage,Vancouver,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
E0FD5B7E,Apr-25,hyland,2bed," $3,345.00 ",700, $4.78 ,Kensington-Cedar Cottage,Vancouver,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
83831FBD,Apr-25,hyland,3bed," $4,945.00 ",1029, $4.81 ,Kensington-Cedar Cottage,Vancouver,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE
BEE45B80,Apr-25,Fynn,1bed," $2,173.00 ",568, $3.83 ,River District,Vancouver,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
82A0D3B7,Apr-25,Fynn,2bed," $2,922.00 ",725, $4.03 ,River District,Vancouver,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
1B84BF25,Apr-25,Fynn,3bed," $3,331.00 ",975, $3.42 ,River District,Vancouver,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
ECD27CB2,Apr-25,Cedar Lane,studio," $2,275.00 ",450, $5.06 ,Kensington-Cedar Cottage,Vancouver,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
FEE78870,Apr-25,Cedar Lane,studio," $2,295.00 ",475, $4.83 ,Kensington-Cedar Cottage,Vancouver,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
26E2CBF3,Apr-25,Cedar Lane,studio," $2,325.00 ",485, $4.79 ,Kensington-Cedar Cottage,Vancouver,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
CBA7A2D9,Apr-25,Cedar Lane,studio," $2,395.00 ",450, $5.32 ,Kensington-Cedar Cottage,Vancouver,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE
